strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,avg_R,total_return_pct,cagr_pct,max_dd_pct,mar,sharpe,max_loss_streak,best_R,worst_R,avg_bars,end_equity
breakout_retest,4h,IS_2004_2018,realistic,757,39.5,1.11,0.099,0.1,89.5,4.5,-15.7,0.29,0.59,13,3.57,-1.24,16.8,18949.0
breakout_retest,4h,IS_2004_2018,pessimistic,757,39.5,1.08,0.072,0.07,54.0,3.0,-17.4,0.17,0.42,13,3.43,-1.39,16.8,15395.0
breakout_retest,4h,OOS_2019_2026,ideal,377,40.1,1.27,0.154,0.15,68.7,7.7,-14.9,0.51,0.96,11,7.55,-1.0,14.9,16869.0
breakout_retest,4h,OOS_2019_2026,realistic,377,40.1,1.21,0.13,0.13,50.9,6.0,-18.4,0.33,0.77,11,7.38,-1.12,14.9,15094.0
breakout_retest,4h,OOS_2019_2026,pessimistic,377,40.1,1.18,0.116,0.12,43.9,5.3,-20.7,0.25,0.69,11,7.27,-1.2,14.9,14386.0
breakout_retest,1d,full,ideal,220,44.5,1.62,0.299,0.3,83.3,2.8,-9.2,0.31,0.82,8,2.44,-1.0,12.7,18331.0
breakout_retest,1d,full,realistic,220,44.5,1.62,0.284,0.28,81.7,2.8,-9.1,0.31,0.8,8,2.43,-1.08,12.7,18169.0
breakout_retest,1d,full,pessimistic,220,44.5,1.56,0.275,0.27,73.2,2.6,-9.4,0.27,0.76,8,2.42,-1.12,12.7,17316.0
breakout_retest,1d,IS_2004_2018,ideal,139,38.8,1.27,0.148,0.15,22.7,1.4,-7.2,0.2,0.44,6,2.44,-1.0,14.0,12273.0
breakout_retest,1d,IS_2004_2018,realistic,139,38.8,1.26,0.13,0.13,21.7,1.4,-7.2,0.19,0.43,6,2.43,-1.08,14.0,12174.0
breakout_retest,1d,IS_2004_2018,pessimistic,139,38.8,1.23,0.118,0.12,19.3,1.2,-7.3,0.17,0.39,6,2.42,-1.12,14.0,11926.0
breakout_retest,1d,OOS_2019_2026,ideal,82,51.2,1.93,0.464,0.46,35.8,4.4,-9.3,0.48,1.19,8,2.3,-1.0,10.2,13577.0
breakout_retest,1d,OOS_2019_2026,realistic,82,51.2,1.93,0.454,0.45,35.7,4.4,-9.4,0.47,1.19,8,2.29,-1.02,10.2,13571.0
breakout_retest,1d,OOS_2019_2026,pessimistic,82,51.2,1.91,0.448,0.45,35.3,4.4,-9.5,0.46,1.17,8,2.29,-1.04,10.2,13526.0
slow_trend,1w,full,ideal,75,20.0,1.1,0.072,0.07,1.8,0.1,-5.3,0.02,0.05,17,6.44,-0.66,10.0,10176.0
slow_trend,1w,full,realistic,75,20.0,1.08,0.069,0.07,1.5,0.1,-5.5,0.01,0.05,17,6.42,-0.66,10.0,10145.0
slow_trend,1w,full,pessimistic,75,20.0,1.07,0.067,0.07,1.3,0.1,-5.6,0.01,0.04,17,6.42,-0.66,10.0,10126.0
slow_trend,1w,IS_2004_2018,ideal,47,19.1,1.28,0.097,0.1,3.0,0.2,-4.1,0.05,0.12,9,6.44,-0.64,11.3,10304.0
slow_trend,1w,IS_2004_2018,realistic,47,19.1,1.26,0.093,0.09,2.8,0.2,-4.2,0.05,0.11,9,6.42,-0.65,11.3,10284.0
slow_trend,1w,IS_2004_2018,pessimistic,47,19.1,1.24,0.091,0.09,2.7,0.2,-4.2,0.04,0.11,9,6.42,-0.65,11.3,10271.0
slow_trend,1w,OOS_2019_2026,ideal,27,18.5,0.49,-0.091,-0.09,-3.8,-0.6,-4.8,-0.11,-0.46,17,0.93,-0.66,5.8,9618.0
slow_trend,1w,OOS_2019_2026,realistic,27,18.5,0.48,-0.093,-0.09,-3.9,-0.6,-4.9,-0.12,-0.47,17,0.93,-0.66,5.8,9608.0
slow_trend,1w,OOS_2019_2026,pessimistic,27,18.5,0.47,-0.094,-0.09,-4.0,-0.6,-4.9,-0.12,-0.48,17,0.93,-0.66,5.8,9602.0
slow_trend,1M,full,ideal,37,21.6,0.87,0.063,0.06,-2.7,-0.1,-10.7,-0.01,-0.05,11,2.63,-0.46,4.8,9729.0
slow_trend,1M,full,realistic,37,21.6,0.87,0.061,0.06,-2.8,-0.1,-10.8,-0.01,-0.05,11,2.63,-0.46,4.8,9715.0
slow_trend,1M,full,pessimistic,37,21.6,0.86,0.06,0.06,-2.9,-0.1,-10.8,-0.01,-0.05,11,2.63,-0.46,4.8,9707.0
buy_hold,1d,full,ideal,1,100.0,,,,1173.0,12.5,-44.6,0.28,,0,,,5531.0,127297.0
buy_hold,1d,IS_2004_2018,ideal,1,100.0,,,,233.1,8.6,-44.6,0.19,,0,,,3731.0,33311.0
buy_hold,1d,OOS_2019_2026,ideal,1,100.0,,,,280.6,20.8,-21.4,0.97,,0,,,1800.0,38062.0
