dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2017-03-10 08:00:00,1197.87,1209.65,,2017-03-13 08:00:00,1210.54,0.11,-143.39,-1.11,stop,5
LONG,2017-03-21 00:00:00,1234.42,1223.51,,2017-03-30 12:00:00,1247.14,0.11,135.89,1.13,stop,44
SHORT,2017-05-05 00:00:00,1228.61,1239.87,,2017-05-12 12:00:00,1229.66,0.11,-15.58,-0.13,stop,32
LONG,2017-05-23 16:00:00,1261.18,1249.8,,2017-06-01 12:00:00,1262.01,0.11,5.04,0.04,stop,39
SHORT,2017-06-20 12:00:00,1246.89,1257.25,,2017-06-22 04:00:00,1252.7,0.12,-74.22,-0.6,stop,9
LONG,2017-07-25 08:00:00,1255.96,1246.27,,2017-08-03 00:00:00,1261.16,0.13,62.78,0.5,stop,39
SHORT,2017-09-28 00:00:00,1283.22,1297.62,,2017-10-06 20:00:00,1275.51,0.09,66.02,0.51,stop,40
LONG,2017-11-23 04:00:00,1289.65,1279.12,,2017-11-29 12:00:00,1287.23,0.12,-33.45,-0.26,stop,24
SHORT,2017-12-04 12:00:00,1273.78,1285.96,,2017-12-13 16:00:00,1248.22,0.1,251.91,2.07,stop,42
LONG,2017-12-28 08:00:00,1292.51,1284.57,,2018-01-03 20:00:00,1309.76,0.16,270.01,2.13,stop,18
SHORT,2018-03-01 16:00:00,1310.3,1323.36,,2018-03-02 12:00:00,1322.1,0.1,-121.7,-0.93,stop,4
LONG,2018-03-23 20:00:00,1347.3,1333.42,,2018-03-27 12:00:00,1341.45,0.09,-55.95,-0.45,stop,9
SHORT,2018-04-26 08:00:00,1323.4,1334.56,,2018-05-03 12:00:00,1315.29,0.12,92.83,0.69,stop,30
LONG,2018-10-12 20:00:00,1219.84,1206.29,,2018-10-24 12:00:00,1226.48,0.1,62.7,0.46,stop,45
SHORT,2018-11-13 20:00:00,1201.79,1213.37,,2018-11-14 20:00:00,1210.94,0.11,-104.76,-0.82,stop,5
LONG,2018-11-20 12:00:00,1222.08,1211.53,,2018-11-27 16:00:00,1218.08,0.12,-52.4,-0.41,stop,29
SHORT,2019-03-06 12:00:00,1285.94,1297.86,,2019-03-08 08:00:00,1294.37,0.11,-96.84,-0.74,stop,10
LONG,2019-03-21 04:00:00,1317.76,1305.99,,2019-03-21 16:00:00,1306.9,0.11,-123.5,-0.95,stop,2
SHORT,2019-04-01 04:00:00,1291.63,1303.81,,2019-04-04 20:00:00,1294.16,0.1,-28.96,-0.24,stop,21
LONG,2019-05-15 08:00:00,1294.95,1284.99,,2019-05-16 16:00:00,1288.59,0.13,-87.45,-0.68,stop,7
SHORT,2019-05-20 04:00:00,1278.06,1288.3,,2019-05-23 12:00:00,1280.87,0.12,-38.13,-0.31,stop,19
LONG,2019-06-03 04:00:00,1308.57,1298.67,,2019-06-05 16:00:00,1328.12,0.13,249.32,1.94,stop,14
